Job,Operation,Machine,Arrival,Deadline,Start,Processing Time,End,Lateness,Tardiness,Earliness
Job_000,0,M0,0,2297,1440,29,1469,-828,0,828
Job_004,0,M2,177,2462,1440,14,1454,-1008,0,1008
Job_006,0,M1,299,2718,1440,46,1486,-1232,0,1232
Job_014,0,M2,537,2823,1454,14,1468,-1355,0,1355
Job_005,0,M2,240,3125,1468,84,1552,-1573,0,1573
Job_004,1,M0,177,2462,1469,6,1475,-987,0,987
Job_010,0,M0,453,2751,1475,29,1504,-1247,0,1247
Job_000,1,M1,0,2297,1486,78,1564,-733,0,733
Job_006,1,M0,299,2718,1504,37,1541,-1177,0,1177
Job_006,2,M3,299,2718,1541,61,1602,-1116,0,1116
Job_014,1,M0,537,2823,1541,6,1547,-1276,0,1276
Job_001,0,M0,81,3047,1547,43,1590,-1457,0,1457
Job_012,0,M2,505,3389,1552,84,1636,-1753,0,1753
Job_004,2,M1,177,2462,1564,22,1586,-876,0,876
Job_004,3,M5,177,2462,1586,61,1647,-815,0,815
Job_010,1,M1,453,2751,1586,78,1664,-1087,0,1087
Job_008,0,M0,329,3801,1590,76,1666,-2135,0,2135
Job_000,2,M2,0,2297,1636,9,1645,-652,0,652
Job_000,3,M3,0,2297,1645,36,1681,-616,0,616
Job_006,3,M2,299,2718,1645,13,1658,-1060,0,1060
Job_001,1,M2,81,3047,1658,90,1748,-1299,0,1299
Job_006,4,M6,299,2718,1658,32,1690,-1028,0,1028
Job_014,2,M1,537,2823,1664,22,1686,-1137,0,1137
Job_016,0,M0,610,3576,1666,43,1709,-1867,0,1867
Job_000,4,M4,0,2297,1681,49,1730,-567,0,567
Job_004,4,M3,177,2462,1681,26,1707,-755,0,755
Job_014,3,M5,537,2823,1686,61,1747,-1076,0,1076
Job_015,0,M1,555,2974,1686,46,1732,-1242,0,1242
Job_028,0,M0,1391,3688,1709,29,1738,-1950,0,1950
Job_004,5,M4,177,2462,1730,69,1799,-663,0,663
Job_005,1,M1,240,3125,1732,2,1734,-1391,0,1391
Job_002,0,M1,101,3404,1734,91,1825,-1579,0,1579
Job_015,1,M0,555,2974,1738,37,1775,-1199,0,1199
Job_000,5,M5,0,2297,1747,11,1758,-539,0,539
Job_014,4,M3,537,2823,1747,26,1773,-1050,0,1050
Job_010,2,M2,453,2751,1748,9,1757,-994,0,994
Job_007,0,M2,315,3450,1757,31,1788,-1662,0,1662
Job_000,6,M6,0,2297,1758,62,1820,-477,0,477
Job_006,5,M5,299,2718,1758,21,1779,-939,0,939
Job_010,3,M3,453,2751,1773,36,1809,-942,0,942
Job_030,0,M0,1423,3720,1775,29,1804,-1916,0,1916
Job_005,2,M5,240,3125,1779,52,1831,-1294,0,1294
Job_006,6,M9,299,2718,1779,32,1811,-907,0,907
Job_016,1,M2,610,3576,1788,90,1878,-1698,0,1698
Job_004,6,M8,177,2462,1799,21,1820,-642,0,642
Job_014,5,M4,537,2823,1799,69,1868,-955,0,955
Job_007,1,M0,315,3450,1804,86,1890,-1560,0,1560
Job_015,2,M3,555,2974,1809,61,1870,-1104,0,1104
Job_000,7,M7,0,2297,1820,56,1876,-421,0,421
Job_006,7,M8,299,2718,1820,89,1909,-809,0,809
Job_009,0,M1,410,3551,1825,85,1910,-1641,0,1641
Job_010,4,M4,453,2751,1868,49,1917,-834,0,834
Job_005,3,M3,240,3125,1870,95,1965,-1160,0,1160
Job_004,7,M7,177,2462,1876,49,1925,-537,0,537
Job_015,3,M2,555,2974,1878,13,1891,-1083,0,1083
Job_002,1,M0,101,3404,1890,85,1975,-1429,0,1429
Job_013,0,M2,535,3669,1891,31,1922,-1747,0,1747
Job_015,4,M6,555,2974,1891,32,1923,-1051,0,1051
Job_000,8,M8,0,2297,1909,44,1953,-344,0,344
Job_012,1,M1,505,3389,1910,2,1912,-1477,0,1477
Job_007,2,M1,315,3450,1912,46,1958,-1492,0,1492
Job_012,2,M5,505,3389,1912,52,1964,-1425,0,1425
Job_001,2,M4,81,3047,1917,75,1992,-1055,0,1055
Job_021,0,M2,970,3854,1922,84,2006,-1848,0,1848
Job_004,8,M9,177,2462,1925,72,1997,-465,0,465
Job_006,8,M7,299,2718,1925,30,1955,-763,0,763
Job_014,6,M8,537,2823,1953,21,1974,-849,0,849
Job_008,1,M1,329,3801,1958,69,2027,-1774,0,1774
Job_010,5,M5,453,2751,1964,11,1975,-776,0,776
Job_012,3,M3,505,3389,1965,95,2060,-1329,0,1329
Job_005,4,M8,240,3125,1974,48,2022,-1103,0,1103
Job_014,7,M7,537,2823,1974,49,2023,-800,0,800
Job_009,1,M0,410,3551,1975,13,1988,-1563,0,1563
Job_010,6,M6,453,2751,1975,62,2037,-714,0,714
Job_015,5,M5,555,2974,1975,21,1996,-978,0,978
Job_013,1,M0,535,3669,1988,86,2074,-1595,0,1595
Job_016,2,M4,610,3576,1992,75,2067,-1509,0,1509
Job_007,3,M5,315,3450,1996,74,2070,-1380,0,1380
Job_001,3,M9,81,3047,1997,11,2008,-1039,0,1039
Job_009,2,M2,410,3551,2006,61,2067,-1484,0,1484
Job_015,6,M9,555,2974,2008,32,2040,-934,0,934
Job_011,0,M1,498,3638,2027,85,2112,-1526,0,1526
Job_010,7,M7,453,2751,2037,56,2093,-658,0,658
Job_014,8,M9,537,2823,2040,72,2112,-711,0,711
Job_015,7,M8,555,2974,2040,89,2129,-845,0,845
Job_001,4,M3,81,3047,2060,69,2129,-918,0,918
Job_009,3,M6,410,3551,2067,7,2074,-1477,0,1477
Job_029,0,M2,1410,3696,2067,14,2081,-1615,0,1615
Job_007,4,M4,315,3450,2070,32,2102,-1348,0,1348
Job_020,0,M0,931,3897,2074,43,2117,-1780,0,1780
Job_027,0,M2,1390,4524,2081,31,2112,-2412,0,2412
Job_007,5,M6,315,3450,2102,88,2190,-1260,0,1260
Job_005,5,M9,240,3125,2112,72,2184,-941,0,941
Job_030,1,M1,1423,3720,2112,78,2190,-1530,0,1530
Job_011,1,M0,498,3638,2117,13,2130,-1508,0,1508
Job_020,1,M2,931,3897,2117,90,2207,-1690,0,1690
Job_002,2,M3,101,3404,2129,39,2168,-1236,0,1236
Job_010,8,M8,453,2751,2129,44,2173,-578,0,578
Job_015,8,M7,555,2974,2129,30,2159,-815,0,815
Job_029,1,M0,1410,3696,2130,6,2136,-1560,0,1560
Job_018,0,M0,682,4153,2136,76,2212,-1941,0,1941
Job_008,2,M3,329,3801,2168,76,2244,-1557,0,1557
Job_012,4,M8,505,3389,2173,48,2221,-1168,0,1168
Job_016,3,M9,610,3576,2184,11,2195,-1381,0,1381
Job_001,5,M1,81,3047,2190,28,2218,-829,0,829
Job_002,3,M2,101,3404,2207,74,2281,-1123,0,1123
Job_020,2,M4,931,3897,2207,75,2282,-1615,0,1615
Job_005,6,M0,240,3125,2212,47,2259,-866,0,866
Job_001,6,M6,81,3047,2218,46,2264,-783,0,783
Job_029,2,M1,1410,3696,2218,22,2240,-1456,0,1456
Job_009,4,M8,410,3551,2221,64,2285,-1266,0,1266
Job_028,1,M1,1391,3688,2240,78,2318,-1370,0,1370
Job_029,3,M5,1410,3696,2240,61,2301,-1395,0,1395
Job_016,4,M3,610,3576,2244,69,2313,-1263,0,1263
Job_031,0,M0,1424,4390,2259,43,2302,-2088,0,2088
Job_005,7,M6,240,3125,2264,65,2329,-796,0,796
Job_000,9,M9,0,2297,2276,21,2297,0,0,0
Job_011,2,M2,498,3638,2281,61,2342,-1296,0,1296
Job_002,4,M8,101,3404,2285,90,2375,-1029,0,1029
Job_012,5,M9,505,3389,2297,72,2369,-1020,0,1020
Job_001,7,M5,81,3047,2301,46,2347,-700,0,700
Job_027,1,M0,1390,4524,2302,86,2388,-2136,0,2136
Job_029,4,M3,1410,3696,2313,26,2339,-1357,0,1357
Job_026,0,M1,1269,3689,2318,46,2364,-1325,0,1325
Job_005,8,M4,240,3125,2329,6,2335,-790,0,790
Job_029,5,M4,1410,3696,2339,69,2408,-1288,0,1288
Job_011,3,M6,498,3638,2342,7,2349,-1289,0,1289
Job_030,2,M2,1423,3720,2342,9,2351,-1369,0,1369
Job_001,8,M7,81,3047,2347,72,2419,-628,0,628
Job_008,3,M5,329,3801,2347,51,2398,-1403,0,1403
Job_028,2,M2,1391,3688,2351,9,2360,-1328,0,1328
Job_030,3,M3,1423,3720,2351,36,2387,-1333,0,1333
Job_031,1,M2,1424,4390,2360,90,2450,-1940,0,1940
Job_013,2,M1,535,3669,2364,46,2410,-1259,0,1259
Job_009,5,M9,410,3551,2369,76,2445,-1106,0,1106
Job_007,6,M8,315,3450,2375,19,2394,-1056,0,1056
Job_028,3,M3,1391,3688,2387,36,2423,-1265,0,1265
Job_012,6,M0,505,3389,2388,47,2435,-954,0,954
Job_011,4,M8,498,3638,2394,64,2458,-1180,0,1180
Job_002,5,M5,101,3404,2398,10,2408,-996,0,996
Job_030,4,M4,1423,3720,2408,49,2457,-1263,0,1263
Job_004,9,M6,177,2462,2409,53,2462,0,0,0
Job_013,3,M5,535,3669,2410,74,2484,-1185,0,1185
Job_021,1,M1,970,3854,2410,2,2412,-1442,0,1442
Job_003,0,M1,142,3950,2412,81,2493,-1457,0,1457
Job_002,6,M7,101,3404,2419,12,2431,-973,0,973
Job_026,1,M0,1269,3689,2435,37,2472,-1217,0,1217
Job_007,7,M9,315,3450,2445,48,2493,-957,0,957
Job_008,4,M2,329,3801,2450,85,2535,-1266,0,1266
Job_028,4,M4,1391,3688,2457,49,2506,-1182,0,1182
Job_029,6,M8,1410,3696,2458,21,2479,-1217,0,1217
Job_002,7,M6,101,3404,2462,89,2551,-853,0,853
Job_023,0,M0,1211,4683,2472,76,2548,-2135,0,2135
Job_026,2,M3,1269,3689,2472,61,2533,-1156,0,1156
Job_029,7,M7,1410,3696,2479,49,2528,-1168,0,1168
Job_021,2,M5,970,3854,2484,52,2536,-1318,0,1318
Job_011,5,M9,498,3638,2493,76,2569,-1069,0,1069
Job_016,5,M1,610,3576,2493,28,2521,-1055,0,1055
Job_013,4,M4,535,3669,2506,32,2538,-1131,0,1131
Job_017,0,M1,625,3928,2521,91,2612,-1316,0,1316
Job_007,8,M7,315,3450,2528,36,2564,-886,0,886
Job_026,3,M2,1269,3689,2535,13,2548,-1141,0,1141
Job_009,6,M5,410,3551,2536,47,2583,-968,0,968
Job_021,3,M3,970,3854,2536,95,2631,-1223,0,1223
Job_031,2,M4,1424,4390,2538,75,2613,-1777,0,1777
Job_003,1,M2,142,3950,2548,95,2643,-1307,0,1307
Job_012,7,M6,505,3389,2551,65,2616,-773,0,773
Job_002,8,M9,101,3404,2569,45,2614,-790,0,790
Job_030,5,M5,1423,3720,2583,11,2594,-1126,0,1126
Job_028,5,M5,1391,3688,2594,11,2605,-1083,0,1083
Job_011,6,M5,498,3638,2605,47,2652,-986,0,986
Job_017,1,M0,625,3928,2612,85,2697,-1231,0,1231
Job_018,1,M1,682,4153,2612,69,2681,-1472,0,1472
Job_008,5,M9,329,3801,2614,11,2625,-1176,0,1176
Job_012,8,M4,505,3389,2616,6,2622,-767,0,767
Job_016,6,M6,610,3576,2616,46,2662,-914,0,914
Job_020,3,M9,931,3897,2625,11,2636,-1261,0,1261
Job_009,7,M3,410,3551,2631,52,2683,-868,0,868
Job_021,4,M8,970,3854,2631,48,2679,-1175,0,1175
Job_029,8,M9,1410,3696,2636,72,2708,-988,0,988
Job_016,7,M5,610,3576,2662,46,2708,-868,0,868
Job_026,4,M6,1269,3689,2662,32,2694,-995,0,995
Job_006,9,M4,299,2718,2663,55,2718,0,0,0
Job_022,0,M1,1050,4190,2681,85,2766,-1424,0,1424
Job_011,7,M3,498,3638,2683,52,2735,-903,0,903
Job_008,6,M6,329,3801,2694,40,2734,-1067,0,1067
Job_003,2,M0,142,3950,2697,71,2768,-1182,0,1182
Job_016,8,M7,610,3576,2708,72,2780,-796,0,796
Job_026,5,M5,1269,3689,2708,21,2729,-960,0,960
Job_031,3,M9,1424,4390,2708,11,2719,-1671,0,1671
Job_009,8,M4,410,3551,2718,90,2808,-743,0,743
Job_010,9,M9,453,2751,2730,21,2751,0,0,0
Job_020,4,M3,931,3897,2735,69,2804,-1093,0,1093
Job_026,6,M9,1269,3689,2751,32,2783,-906,0,906
Job_019,0,M1,808,4616,2766,81,2847,-1769,0,1769
Job_022,1,M0,1050,4190,2768,13,2781,-1409,0,1409
Job_014,9,M6,537,2823,2770,53,2823,0,0,0
Job_008,7,M7,329,3801,2780,89,2869,-932,0,932
Job_022,2,M2,1050,4190,2781,61,2842,-1348,0,1348
Job_021,5,M9,970,3854,2783,72,2855,-999,0,999
Job_026,7,M8,1269,3689,2783,89,2872,-817,0,817
Job_017,2,M3,625,3928,2804,39,2843,-1085,0,1085
Job_011,8,M4,498,3638,2808,90,2898,-740,0,740
Job_028,6,M6,1391,3688,2823,62,2885,-803,0,803
Job_017,3,M2,625,3928,2843,74,2917,-1011,0,1011
Job_018,2,M3,682,4153,2843,76,2919,-1234,0,1234
Job_020,5,M1,931,3897,2847,28,2875,-1022,0,1022
Job_021,6,M0,970,3854,2855,47,2902,-952,0,952
Job_026,8,M7,1269,3689,2872,30,2902,-787,0,787
Job_025,0,M1,1252,4555,2875,91,2966,-1589,0,1589
Job_030,6,M6,1423,3720,2885,62,2947,-773,0,773
Job_028,7,M7,1391,3688,2902,56,2958,-730,0,730
Job_017,4,M8,625,3928,2917,90,3007,-921,0,921
Job_019,1,M2,808,4616,2917,95,3012,-1604,0,1604
Job_015,9,M4,555,2974,2919,55,2974,0,0,0
Job_018,3,M5,682,4153,2919,51,2970,-1183,0,1183
Job_031,4,M3,1424,4390,2919,69,2988,-1402,0,1402
Job_013,5,M6,535,3669,2947,88,3035,-634,0,634
Job_030,7,M7,1423,3720,2958,56,3014,-706,0,706
Job_025,1,M0,1252,4555,2966,85,3051,-1504,0,1504
Job_027,2,M1,1390,4524,2966,46,3012,-1512,0,1512
Job_003,3,M4,142,3950,2974,99,3073,-877,0,877
Job_017,5,M5,625,3928,3007,10,3017,-911,0,911
Job_018,4,M2,682,4153,3012,85,3097,-1056,0,1056
Job_023,1,M1,1211,4683,3012,69,3081,-1602,0,1602
Job_001,9,M8,81,3047,3017,30,3047,0,0,0
Job_017,6,M7,625,3928,3017,12,3029,-899,0,899
Job_027,3,M5,1390,4524,3017,74,3091,-1433,0,1433
Job_020,6,M6,931,3897,3035,46,3081,-816,0,816
Job_013,6,M8,535,3669,3047,19,3066,-603,0,603
Job_019,2,M0,808,4616,3051,71,3122,-1494,0,1494
Job_025,2,M3,1252,4555,3051,39,3090,-1465,0,1465
Job_013,7,M9,535,3669,3066,48,3114,-555,0,555
Job_028,8,M8,1391,3688,3066,44,3110,-578,0,578
Job_008,8,M4,329,3801,3073,26,3099,-702,0,702
Job_003,4,M6,142,3950,3081,9,3090,-860,0,860
Job_031,5,M1,1424,4390,3081,28,3109,-1281,0,1281
Job_021,7,M6,970,3854,3090,65,3155,-699,0,699
Job_023,2,M3,1211,4683,3090,76,3166,-1517,0,1517
Job_020,7,M5,931,3897,3091,46,3137,-760,0,760
Job_025,3,M2,1252,4555,3097,74,3171,-1384,0,1384
Job_027,4,M4,1390,4524,3099,32,3131,-1393,0,1393
Job_005,9,M7,240,3125,3100,25,3125,0,0,0
Job_024,0,M1,1238,5047,3109,81,3190,-1857,0,1857
Job_003,5,M8,142,3950,3110,52,3162,-788,0,788
Job_018,5,M9,682,4153,3114,11,3125,-1028,0,1028
Job_013,8,M7,535,3669,3125,36,3161,-508,0,508
Job_019,3,M4,808,4616,3131,99,3230,-1386,0,1386
Job_017,7,M6,625,3928,3155,89,3244,-684,0,684
Job_020,8,M7,931,3897,3161,72,3233,-664,0,664
Job_030,8,M8,1423,3720,3162,44,3206,-514,0,514
Job_023,3,M5,1211,4683,3166,51,3217,-1466,0,1466
Job_024,1,M2,1238,5047,3190,95,3285,-1762,0,1762
Job_025,4,M8,1252,4555,3206,90,3296,-1259,0,1259
Job_021,8,M4,970,3854,3230,6,3236,-618,0,618
Job_003,6,M7,142,3950,3233,85,3318,-632,0,632
Job_017,8,M9,625,3928,3244,45,3289,-639,0,639
Job_022,3,M6,1050,4190,3244,7,3251,-939,0,939
Job_018,6,M6,682,4153,3251,40,3291,-862,0,862
Job_023,4,M2,1211,4683,3285,85,3370,-1313,0,1313
Job_024,2,M0,1238,5047,3285,71,3356,-1691,0,1691
Job_031,6,M6,1424,4390,3291,46,3337,-1053,0,1053
Job_022,4,M8,1050,4190,3296,64,3360,-830,0,830
Job_025,5,M5,1252,4555,3296,10,3306,-1249,0,1249
Job_025,6,M7,1252,4555,3318,12,3330,-1225,0,1225
Job_019,4,M6,808,4616,3337,9,3346,-1270,0,1270
Job_031,7,M5,1424,4390,3337,46,3383,-1007,0,1007
Job_027,5,M6,1390,4524,3346,88,3434,-1090,0,1090
Job_019,5,M8,808,4616,3360,52,3412,-1204,0,1204
Job_022,5,M9,1050,4190,3360,76,3436,-754,0,754
Job_012,9,M7,505,3389,3364,25,3389,0,0,0
Job_002,9,M4,101,3404,3371,33,3404,0,0,0
Job_007,9,M3,315,3450,3371,79,3450,0,0,0
Job_018,7,M7,682,4153,3389,89,3478,-675,0,675
Job_024,3,M4,1238,5047,3404,99,3503,-1544,0,1544
Job_025,7,M6,1252,4555,3434,89,3523,-1032,0,1032
Job_027,6,M8,1390,4524,3434,19,3453,-1071,0,1071
Job_022,6,M5,1050,4190,3436,47,3483,-707,0,707
Job_023,5,M9,1211,4683,3436,11,3447,-1236,0,1236
Job_003,7,M3,142,3950,3450,98,3548,-402,0,402
Job_027,7,M9,1390,4524,3453,48,3501,-1023,0,1023
Job_018,8,M4,682,4153,3503,26,3529,-624,0,624
Job_009,9,M7,410,3551,3506,45,3551,0,0,0
Job_023,6,M6,1211,4683,3523,40,3563,-1120,0,1120
Job_025,8,M9,1252,4555,3523,45,3568,-987,0,987
Job_016,9,M8,610,3576,3546,30,3576,0,0,0
Job_027,8,M7,1390,4524,3551,36,3587,-937,0,937
Job_024,4,M6,1238,5047,3563,9,3572,-1475,0,1475
Job_003,8,M9,142,3950,3568,22,3590,-360,0,360
Job_024,5,M8,1238,5047,3576,52,3628,-1419,0,1419
Job_013,9,M3,535,3669,3590,79,3669,0,0,0
Job_011,9,M7,498,3638,3593,45,3638,0,0,0
Job_026,9,M4,1269,3689,3634,55,3689,0,0,0
Job_019,6,M7,808,4616,3638,85,3723,-893,0,893
Job_029,9,M6,1410,3696,3643,53,3696,0,0,0
Job_028,9,M9,1391,3688,3667,21,3688,0,0,0
Job_022,7,M3,1050,4190,3669,52,3721,-469,0,469
Job_030,9,M9,1423,3720,3699,21,3720,0,0,0
Job_022,8,M4,1050,4190,3721,90,3811,-379,0,379
Job_019,7,M3,808,4616,3723,98,3821,-795,0,795
Job_031,8,M7,1424,4390,3723,72,3795,-595,0,595
Job_008,9,M8,329,3801,3727,74,3801,0,0,0
Job_019,8,M9,808,4616,3821,22,3843,-773,0,773
Job_021,9,M7,970,3854,3829,25,3854,0,0,0
Job_023,7,M7,1211,4683,3854,89,3943,-740,0,740
Job_020,9,M8,931,3897,3867,30,3897,0,0,0
Job_017,9,M4,625,3928,3895,33,3928,0,0,0
Job_003,9,M5,142,3950,3907,43,3950,0,0,0
Job_023,8,M4,1211,4683,3943,26,3969,-714,0,714
Job_024,6,M7,1238,5047,3943,85,4028,-1019,0,1019
Job_024,7,M3,1238,5047,4028,98,4126,-921,0,921
Job_018,9,M8,682,4153,4079,74,4153,0,0,0
Job_024,8,M9,1238,5047,4126,22,4148,-899,0,899
Job_022,9,M7,1050,4190,4145,45,4190,0,0,0
Job_031,9,M8,1424,4390,4360,30,4390,0,0,0
Job_027,9,M3,1390,4524,4445,79,4524,0,0,0
Job_025,9,M4,1252,4555,4522,33,4555,0,0,0
Job_019,9,M5,808,4616,4573,43,4616,0,0,0
Job_023,9,M8,1211,4683,4609,74,4683,0,0,0
Job_024,9,M5,1238,5047,5004,43,5047,0,0,0
