Job,Operation,Arrival,Deadline,Machine,Start,Processing Time,End,Lateness,Tardiness,Earliness
Job_178,7,11447,14587,M3,14403,52,14455,-132,0,132
Job_173,8,10996,13881,M4,14418,6,14424,543,543,0
Job_173,9,10996,13881,M7,14424,25,14449,568,568,0
Job_195,5,12336,14622,M4,14424,69,14493,-129,0,129
Job_221,0,13729,16027,M0,14424,29,14453,-1574,0,1574
Job_214,0,13372,16512,M1,14425,85,14510,-2002,0,2002
Job_215,0,13405,16371,M0,14453,43,14496,-1875,0,1875
Job_184,5,11630,14770,M9,14454,76,14530,-240,0,240
Job_185,7,11674,14093,M8,14454,89,14543,450,450,0
Job_175,9,11350,14485,M3,14455,79,14534,49,49,0
Job_207,0,12982,16117,M2,14464,31,14495,-1622,0,1622
Job_178,8,11447,14587,M4,14493,90,14583,-4,0,4
Job_210,0,13230,15516,M2,14495,14,14509,-1007,0,1007
Job_231,0,14099,16396,M0,14496,29,14525,-1871,0,1871
Job_196,2,12439,15579,M2,14509,61,14570,-1009,0,1009
Job_182,1,11613,14498,M1,14510,2,14512,14,14,0
Job_179,5,11460,14426,M1,14512,28,14540,114,114,0
Job_182,2,11613,14498,M5,14512,52,14564,66,66,0
Job_217,0,13497,15795,M0,14525,29,14554,-1241,0,1241
Job_172,5,10953,14424,M9,14530,11,14541,117,117,0
Job_193,3,12270,15154,M3,14534,95,14629,-525,0,525
Job_234,0,14381,18190,M1,14540,81,14621,-3569,0,3569
Job_185,8,11674,14093,M7,14543,30,14573,480,480,0
Job_195,6,12336,14622,M8,14543,21,14564,-58,0,58
Job_174,8,11144,14447,M9,14551,45,14596,149,149,0
Job_186,9,11885,14171,M6,14551,53,14604,433,433,0
Job_214,1,13372,16512,M0,14554,13,14567,-1945,0,1945
Job_184,6,11630,14770,M5,14564,47,14611,-159,0,159
Job_194,6,12311,15445,M8,14564,19,14583,-862,0,862
Job_207,1,12982,16117,M0,14567,86,14653,-1464,0,1464
Job_226,0,13968,17102,M2,14570,31,14601,-2501,0,2501
Job_178,9,11447,14587,M7,14583,45,14628,41,41,0
Job_185,9,11674,14093,M4,14583,55,14638,545,545,0
Job_194,7,12311,15445,M9,14596,48,14644,-801,0,801
Job_192,1,12179,15988,M2,14601,95,14696,-1292,0,1292
Job_179,6,11460,14426,M6,14604,46,14650,224,224,0
Job_213,0,13354,15774,M1,14621,46,14667,-1107,0,1107
Job_195,7,12336,14622,M7,14628,49,14677,55,55,0
Job_193,4,12270,15154,M8,14629,48,14677,-477,0,477
Job_199,3,12485,14782,M3,14629,36,14665,-117,0,117
Job_174,9,11144,14447,M4,14638,33,14671,224,224,0
Job_179,7,11460,14426,M5,14650,46,14696,270,270,0
Job_189,5,12020,15155,M6,14650,88,14738,-417,0,417
Job_210,1,13230,15516,M0,14653,6,14659,-857,0,857
Job_226,1,13968,17102,M0,14659,86,14745,-2357,0,2357
Job_200,3,12508,14806,M3,14665,36,14701,-105,0,105
Job_210,2,13230,15516,M1,14667,22,14689,-827,0,827
Job_199,4,12485,14782,M4,14671,49,14720,-62,0,62
Job_193,5,12270,15154,M9,14677,72,14749,-405,0,405
Job_217,1,13497,15795,M1,14689,78,14767,-1028,0,1028
Job_179,8,11460,14426,M7,14696,72,14768,342,342,0
Job_227,0,14010,16895,M2,14696,84,14780,-2115,0,2115
Job_204,4,12686,14972,M3,14701,26,14727,-245,0,245
Job_199,5,12485,14782,M5,14720,11,14731,-51,0,51
Job_200,4,12508,14806,M4,14720,49,14769,-37,0,37
Job_165,7,10535,14344,M3,14727,98,14825,481,481,0
Job_189,6,12020,15155,M8,14738,19,14757,-398,0,398
Job_199,6,12485,14782,M6,14738,62,14800,18,18,0
Job_192,2,12179,15988,M0,14745,71,14816,-1172,0,1172
Job_195,8,12336,14622,M9,14749,72,14821,199,199,0
Job_207,2,12982,16117,M1,14767,46,14813,-1304,0,1304
Job_179,9,11460,14426,M8,14768,30,14798,372,372,0
Job_200,5,12508,14806,M5,14769,11,14780,-26,0,26
Job_204,5,12686,14972,M4,14769,69,14838,-134,0,134
Job_210,3,13230,15516,M5,14780,61,14841,-675,0,675
Job_219,0,13654,16539,M2,14780,84,14864,-1675,0,1675
Job_199,7,12485,14782,M7,14800,56,14856,74,74,0
Job_200,6,12508,14806,M6,14800,62,14862,56,56,0
Job_227,1,14010,16895,M1,14813,2,14815,-2080,0,2080
Job_193,6,12270,15154,M0,14816,47,14863,-291,0,291
Job_165,8,10535,14344,M9,14825,22,14847,503,503,0
Job_187,4,11944,14910,M3,14825,69,14894,-16,0,16
Job_203,3,12603,16412,M4,14838,99,14937,-1475,0,1475
Job_204,6,12686,14972,M8,14838,21,14859,-113,0,113
Job_165,9,10535,14344,M5,14847,43,14890,546,546,0
Job_189,7,12020,15155,M9,14847,48,14895,-260,0,260
Job_199,8,12485,14782,M8,14859,44,14903,121,121,0
Job_195,9,12336,14622,M6,14862,53,14915,293,293,0
Job_200,7,12508,14806,M7,14862,56,14918,112,112,0
Job_212,0,13254,16388,M2,14864,31,14895,-1493,0,1493
Job_219,1,13654,16539,M1,14864,2,14866,-1673,0,1673
Job_207,3,12982,16117,M5,14890,74,14964,-1153,0,1153
Job_187,5,11944,14910,M1,14894,28,14922,12,12,0
Job_206,2,12780,15200,M3,14894,61,14955,-245,0,245
Job_212,1,13254,16388,M0,14895,86,14981,-1407,0,1407
Job_225,0,13894,16180,M2,14895,14,14909,-1271,0,1271
Job_199,9,12485,14782,M9,14903,21,14924,142,142,0
Job_217,2,13497,15795,M2,14909,9,14918,-877,0,877
Job_196,3,12439,15579,M6,14915,7,14922,-657,0,657
Job_200,8,12508,14806,M8,14918,44,14962,156,156,0
Job_204,7,12686,14972,M7,14918,49,14967,-5,0,5
Job_187,6,11944,14910,M6,14922,46,14968,58,58,0
Job_209,0,13086,16226,M1,14922,85,15007,-1219,0,1219
Job_198,2,12457,15423,M4,14937,75,15012,-411,0,411
Job_191,2,12138,15610,M3,14955,76,15031,-579,0,579
Job_206,3,12780,15200,M2,14955,13,14968,-232,0,232
Job_196,4,12439,15579,M8,14962,64,15026,-553,0,553
Job_200,9,12508,14806,M9,14962,21,14983,177,177,0
Job_189,8,12020,15155,M7,14967,36,15003,-152,0,152
Job_187,7,11944,14910,M5,14968,46,15014,104,104,0
Job_206,4,12780,15200,M6,14968,32,15000,-200,0,200
Job_214,2,13372,16512,M2,14968,61,15029,-1483,0,1483
Job_223,0,13805,17276,M0,14981,76,15057,-2219,0,2219
Job_204,8,12686,14972,M9,14983,72,15055,83,83,0
Job_193,7,12270,15154,M6,15000,65,15065,-89,0,89
Job_212,2,13254,16388,M1,15007,46,15053,-1335,0,1335
Job_187,8,11944,14910,M7,15014,72,15086,176,176,0
Job_206,5,12780,15200,M5,15014,21,15035,-165,0,165
Job_207,4,12982,16117,M4,15025,32,15057,-1060,0,1060
Job_210,4,13230,15516,M3,15031,26,15057,-459,0,459
Job_191,3,12138,15610,M5,15035,51,15086,-524,0,524
Job_226,2,13968,17102,M1,15053,46,15099,-2003,0,2003
Job_206,6,12780,15200,M9,15055,32,15087,-113,0,113
Job_189,9,12020,15155,M3,15057,79,15136,-19,0,19
Job_209,1,13086,16226,M0,15057,13,15070,-1156,0,1156
Job_172,6,10953,14424,M6,15065,40,15105,681,681,0
Job_193,8,12270,15154,M4,15065,6,15071,-83,0,83
Job_225,1,13894,16180,M0,15070,6,15076,-1104,0,1104
Job_210,5,13230,15516,M4,15071,69,15140,-376,0,376
Job_229,0,14074,17040,M0,15076,43,15119,-1921,0,1921
Job_187,9,11944,14910,M8,15086,30,15116,206,206,0
Job_191,4,12138,15610,M2,15086,85,15171,-439,0,439
Job_193,9,12270,15154,M7,15086,25,15111,-43,0,43
Job_212,3,13254,16388,M5,15086,74,15160,-1228,0,1228
Job_198,3,12457,15423,M9,15087,11,15098,-325,0,325
Job_224,0,13856,16276,M1,15099,46,15145,-1131,0,1131
Job_204,9,12686,14972,M6,15105,53,15158,186,186,0
Job_172,7,10953,14424,M7,15111,89,15200,776,776,0
Job_206,7,12780,15200,M8,15116,89,15205,5,5,0
Job_198,4,12457,15423,M3,15136,69,15205,-218,0,218
Job_224,1,13856,16276,M0,15145,37,15182,-1094,0,1094
Job_232,0,14289,16709,M1,15145,46,15191,-1518,0,1518
Job_183,4,11614,15423,M6,15158,9,15167,-256,0,256
Job_212,4,13254,16388,M4,15160,32,15192,-1196,0,1196
Job_219,2,13654,16539,M5,15160,52,15212,-1327,0,1327
Job_203,4,12603,16412,M6,15167,9,15176,-1236,0,1236
Job_191,5,12138,15610,M9,15171,11,15182,-428,0,428
Job_230,0,14076,16961,M2,15171,84,15255,-1706,0,1706
Job_214,3,13372,16512,M6,15176,7,15183,-1329,0,1329
Job_196,5,12439,15579,M9,15182,76,15258,-321,0,321
Job_208,0,12985,16457,M0,15182,76,15258,-1199,0,1199
Job_191,6,12138,15610,M6,15183,40,15223,-387,0,387
Job_172,8,10953,14424,M4,15200,26,15226,802,802,0
Job_176,7,11414,15223,M3,15205,98,15303,80,80,0
Job_198,5,12457,15423,M1,15205,28,15233,-190,0,190
Job_206,8,12780,15200,M7,15205,30,15235,35,35,0
Job_210,6,13230,15516,M8,15205,21,15226,-290,0,290
Job_172,9,10953,14424,M8,15226,74,15300,876,876,0
Job_188,1,12017,15488,M1,15233,69,15302,-186,0,186
Job_198,6,12457,15423,M6,15233,46,15279,-144,0,144
Job_206,9,12780,15200,M4,15235,55,15290,90,90,0
Job_210,7,13230,15516,M7,15235,49,15284,-232,0,232
Job_215,1,13405,16371,M2,15255,90,15345,-1026,0,1026
Job_218,0,13579,17051,M0,15258,76,15334,-1717,0,1717
Job_198,7,12457,15423,M5,15279,46,15325,-98,0,98
Job_207,5,12982,16117,M6,15279,88,15367,-750,0,750
Job_194,8,12311,15445,M7,15284,36,15320,-125,0,125
Job_201,2,12544,15510,M4,15290,75,15365,-145,0,145
Job_183,5,11614,15423,M8,15300,52,15352,-71,0,71
Job_221,1,13729,16027,M1,15302,78,15380,-647,0,647
Job_176,8,11414,15223,M9,15303,22,15325,102,102,0
Job_197,2,12440,15744,M3,15303,39,15342,-402,0,402
Job_176,9,11414,15223,M5,15325,43,15368,145,145,0
Job_198,8,12457,15423,M7,15325,72,15397,-26,0,26
Job_210,8,13230,15516,M9,15325,72,15397,-119,0,119
Job_213,1,13354,15774,M0,15334,37,15371,-403,0,403
Job_184,7,11630,14770,M3,15342,52,15394,624,624,0
Job_197,3,12440,15744,M2,15345,74,15419,-325,0,325
Job_207,6,12982,16117,M8,15367,19,15386,-731,0,731
Job_212,5,13254,16388,M6,15367,88,15455,-933,0,933
Job_226,3,13968,17102,M5,15368,74,15442,-1660,0,1660
Job_232,1,14289,16709,M0,15371,37,15408,-1301,0,1301
Job_222,0,13785,16926,M1,15380,85,15465,-1461,0,1461
Job_184,8,11630,14770,M4,15394,90,15484,714,714,0
Job_194,9,12311,15445,M3,15394,79,15473,28,28,0
Job_191,7,12138,15610,M7,15397,89,15486,-124,0,124
Job_198,9,12457,15423,M8,15397,30,15427,4,4,0
Job_201,3,12544,15510,M9,15397,11,15408,-102,0,102
Job_207,7,12982,16117,M9,15408,48,15456,-661,0,661
Job_221,2,13729,16027,M2,15419,9,15428,-599,0,599
Job_197,4,12440,15744,M8,15427,90,15517,-227,0,227
Job_209,2,13086,16226,M2,15428,61,15489,-737,0,737
Job_196,6,12439,15579,M5,15442,47,15489,-90,0,90
Job_210,9,13230,15516,M6,15463,53,15516,0,0,0
Job_222,1,13785,16926,M0,15465,13,15478,-1448,0,1448
Job_225,2,13894,16180,M1,15465,22,15487,-693,0,693
Job_188,2,12017,15488,M3,15473,76,15549,61,61,0
Job_184,9,11630,14770,M7,15486,45,15531,761,761,0
Job_191,8,12138,15610,M4,15486,26,15512,-98,0,98
Job_230,1,14076,16961,M1,15487,2,15489,-1472,0,1472
Job_208,1,12985,16457,M1,15489,69,15558,-899,0,899
Job_222,2,13785,16926,M2,15489,61,15550,-1376,0,1376
Job_215,2,13405,16371,M4,15512,75,15587,-784,0,784
Job_209,3,13086,16226,M6,15516,7,15523,-703,0,703
Job_197,5,12440,15744,M5,15517,10,15527,-217,0,217
Job_212,6,13254,16388,M8,15517,19,15536,-852,0,852
Job_227,2,14010,16895,M5,15527,52,15579,-1316,0,1316
Job_197,6,12440,15744,M7,15531,12,15543,-201,0,201
Job_191,9,12138,15610,M8,15536,74,15610,0,0,0
Job_212,7,13254,16388,M9,15536,48,15584,-804,0,804
Job_183,6,11614,15423,M7,15543,85,15628,205,205,0
Job_197,7,12440,15744,M6,15543,89,15632,-112,0,112
Job_201,4,12544,15510,M3,15549,69,15618,108,108,0
Job_229,1,14074,17040,M2,15550,90,15640,-1400,0,1400
Job_223,1,13805,17276,M1,15558,69,15627,-1649,0,1649
Job_188,3,12017,15488,M5,15579,51,15630,142,142,0
Job_192,3,12179,15988,M4,15587,99,15686,-302,0,302
Job_215,3,13405,16371,M9,15587,11,15598,-773,0,773
Job_203,5,12603,16412,M8,15610,52,15662,-750,0,750
Job_213,2,13354,15774,M3,15618,61,15679,-95,0,95
Job_201,5,12544,15510,M1,15627,28,15655,145,145,0
Job_207,8,12982,16117,M7,15629,36,15665,-452,0,452
Job_225,3,13894,16180,M5,15630,61,15691,-489,0,489
Job_197,8,12440,15744,M9,15632,45,15677,-67,0,67
Job_188,4,12017,15488,M2,15640,85,15725,237,237,0
Job_222,3,13785,16926,M6,15642,7,15649,-1277,0,1277
Job_201,6,12544,15510,M6,15655,46,15701,191,191,0
Job_216,0,13428,16731,M1,15655,91,15746,-985,0,985
Job_209,4,13086,16226,M8,15662,64,15726,-500,0,500
Job_203,6,12603,16412,M7,15665,85,15750,-662,0,662
Job_205,3,12779,15663,M3,15679,95,15774,111,111,0
Job_192,4,12179,15988,M6,15701,9,15710,-278,0,278
Job_201,7,12544,15510,M5,15701,46,15747,237,237,0
Job_197,9,12440,15744,M4,15711,33,15744,0,0,0
Job_188,5,12017,15488,M9,15725,11,15736,248,248,0
Job_213,3,13354,15774,M2,15725,13,15738,-36,0,36
Job_213,4,13354,15774,M6,15738,32,15770,-4,0,4
Job_234,1,14381,18190,M2,15738,95,15833,-2357,0,2357
Job_226,4,13968,17102,M4,15744,32,15776,-1326,0,1326
Job_216,1,13428,16731,M0,15746,85,15831,-900,0,900
Job_228,0,14058,17361,M1,15746,91,15837,-1524,0,1524
Job_201,8,12544,15510,M7,15750,72,15822,312,312,0
Job_188,6,12017,15488,M6,15770,40,15810,322,322,0
Job_213,5,13354,15774,M5,15770,21,15791,17,17,0
Job_205,4,12779,15663,M8,15774,48,15822,159,159,0
Job_217,3,13497,15795,M3,15774,36,15810,15,15,0
Job_213,6,13354,15774,M9,15791,32,15823,49,49,0
